dateCons;codeINSEE;Consommation
2014-01;11;7612
2014-02;11;6749
2014-03;11;6509
2014-04;11;5396
2014-05;11;5279
2014-06;11;4815
2014-07;11;4889
2014-08;11;4355
2014-09;11;4874
2014-10;11;5535
2014-11;11;6255
2014-12;11;7847
2015-01;11;8361
2015-02;11;7579
2015-03;11;7242
2015-04;11;5540
2015-05;11;5155
2015-06;11;4889
2015-07;11;4903
2015-08;11;4437
2015-09;11;4957
2015-10;11;6041
2015-11;11;6252
2015-12;11;6778
2016-01;11;7798
2016-02;11;7125
2016-03;11;7257
2016-04;11;5950
2016-05;11;5272
2016-06;11;4945
2016-07;11;4756
2016-08;11;4449
2016-09;11;4820
2016-10;11;5878
2016-11;11;6866
2016-12;11;7905
2017-01;11;8894
2017-02;11;6669
2017-03;11;6447
2017-04;11;5472
2017-05;11;5211
2017-06;11;4824
2017-07;11;4693
2017-08;11;4342
2017-09;11;4902
2017-10;11;5452
2017-11;11;6740
2017-12;11;7672
2018-01;11;7062
2018-02;11;7694
2018-03;11;7442
2018-04;11;5297
2018-05;11;5008
2018-06;11;4766
2018-07;11;4901
2018-08;11;4387
2018-09;11;4694
2018-10;11;5535
2018-11;11;6758
2018-12;11;7248
2019-01;11;8093
2019-02;11;6637
2019-03;11;6471
2019-04;11;5487
2019-05;11;5266
2019-06;11;4744
2019-07;11;4753
2019-08;11;4193
2019-09;11;4535
2019-10;11;5549
2019-11;11;6726
2019-12;11;7197
2014-01;24;2034
2014-02;24;1837
2014-03;24;1736
2014-04;24;1486
2014-05;24;1349
2014-06;24;1234
2014-07;24;1289
2014-08;24;1170
2014-09;24;1296
2014-10;24;1461
2014-11;24;1644
2014-12;24;2109
2015-01;24;2177
2015-02;24;2034
2015-03;24;1860
2015-04;24;1438
2015-05;24;1308
2015-06;24;1349
2015-07;24;1364
2015-08;24;1212
2015-09;24;1292
2015-10;24;1540
2015-11;24;1607
2015-12;24;1801
2016-01;24;2037
2016-02;24;1909
2016-03;24;1906
2016-04;24;1537
2016-05;24;1316
2016-06;24;1207
