ClePrimaire;dateProd;codeINSEE;QuantiteProd;typeProd
1;2014-01;11;;nucléaire
2;2014-02;11;;nucléaire
3;2014-03;11;;nucléaire
4;2014-04;11;;nucléaire
5;2014-05;11;;nucléaire
6;2014-06;11;;nucléaire
7;2014-07;11;;nucléaire
8;2014-08;11;;nucléaire
9;2014-09;11;;nucléaire
10;2014-10;11;;nucléaire
11;2014-11;11;;nucléaire
12;2014-12;11;;nucléaire
13;2015-01;11;;nucléaire
14;2015-02;11;;nucléaire
15;2015-03;11;;nucléaire
16;2015-04;11;;nucléaire
17;2015-05;11;;nucléaire
18;2015-06;11;;nucléaire
19;2015-07;11;;nucléaire
20;2015-08;11;;nucléaire
;2015-09;11;;nucléaire
;2015-10;11;;nucléaire
;2015-11;11;;nucléaire
;2015-12;11;;nucléaire
;2016-01;11;;nucléaire
;2016-02;11;;nucléaire
;2016-03;11;;nucléaire
;2016-04;11;;nucléaire
;2016-05;11;;nucléaire
;2016-06;11;;nucléaire
;2016-07;11;;nucléaire
;2016-08;11;;nucléaire
;2016-09;11;;nucléaire
;2016-10;11;;nucléaire
;2016-11;11;;nucléaire
;2016-12;11;;nucléaire
;2017-01;11;;nucléaire
;2017-02;11;;nucléaire
;2017-03;11;;nucléaire
;2017-04;11;;nucléaire
;2017-05;11;;nucléaire
;2017-06;11;;nucléaire
;2017-07;11;;nucléaire
;2017-08;11;;nucléaire
;2017-09;11;;nucléaire
;2017-10;11;;nucléaire
;2017-11;11;;nucléaire
;2017-12;11;;nucléaire
;2018-01;11;;nucléaire
;2018-02;11;;nucléaire
;2018-03;11;;nucléaire
;2018-04;11;;nucléaire
;2018-05;11;;nucléaire
;2018-06;11;;nucléaire
;2018-07;11;;nucléaire
;2018-08;11;;nucléaire
;2018-09;11;;nucléaire
;2018-10;11;;nucléaire
;2018-11;11;;nucléaire
;2018-12;11;;nucléaire
;2019-01;11;;nucléaire
;2019-02;11;;nucléaire
;2019-03;11;;nucléaire
;2019-04;11;;nucléaire
;2019-05;11;;nucléaire
;2019-06;11;;nucléaire
;2019-07;11;;nucléaire
;2019-08;11;;nucléaire
;2019-09;11;;nucléaire
;2019-10;11;;nucléaire
;2019-11;11;;nucléaire
;2019-12;11;;nucléaire
;2014-01;24;8017;nucléaire
;2014-02;24;6956;nucléaire
;2014-03;24;7153;nucléaire
;2014-04;24;6402;nucléaire
;2014-05;24;6191;nucléaire
;2014-06;24;5870;nucléaire
;2014-07;24;6157;nucléaire
;2014-08;24;5178;nucléaire
;2014-09;24;4743;nucléaire
;2014-10;24;5619;nucléaire
;2014-11;24;7139;nucléaire
;2014-12;24;8440;nucléaire
;2015-01;24;8445;nucléaire
;2015-02;24;7669;nucléaire
;2015-03;24;8092;nucléaire
;2015-04;24;6027;nucléaire
;2015-05;24;5529;nucléaire
;2015-06;24;6331;nucléaire
;2015-07;24;5540;nucléaire
;2015-08;24;5718;nucléaire
;2015-09;24;6584;nucléaire
;2015-10;24;5685;nucléaire
;2015-11;24;5757;nucléaire
;2015-12;24;7900;nucléaire
;2016-01;24;8460;nucléaire
;2016-02;24;7808;nucléaire
;2016-03;24;7502;nucléaire
;2016-04;24;5932;nucléaire
;2016-05;24;5770;nucléaire
;2016-06;24;5386;nucléaire
;2016-07;24;4432;nucléaire
;2016-08;24;4948;nucléaire
;2016-09;24;4842;nucléaire
;2016-10;24;6031;nucléaire
;2016-11;24;6397;nucléaire
;2016-12;24;8225;nucléaire
;2017-01;24;8538;nucléaire
;2017-02;24;7623;nucléaire
;2017-03;24;8314;nucléaire
;2017-04;24;7800;nucléaire
;2017-05;24;6425;nucléaire
;2017-06;24;5008;nucléaire
;2017-07;24;4649;nucléaire
;2017-08;24;5227;nucléaire
;2017-09;24;4408;nucléaire
;2017-10;24;4482;nucléaire
;2017-11;24;5457;nucléaire
;2017-12;24;6913;nucléaire
;2018-01;24;7352;nucléaire
;2018-02;24;6848;nucléaire
;2018-03;24;7178;nucléaire
;2018-04;24;6190;nucléaire
;2018-05;24;6772;nucléaire
;2018-06;24;5695;nucléaire
;2018-07;24;6191;nucléaire
;2018-08;24;6034;nucléaire
;2018-09;24;5596;nucléaire
;2018-10;24;5220;nucléaire
;2018-11;24;4581;nucléaire
;2018-12;24;6875;nucléaire
;2019-01;24;7662;nucléaire
